ProductID,ProductName,Category,Stock,UnitPrice
PROD200,Simply,Fashion,83,979.95
PROD201,Scene,Sports,325,218.04
PROD202,Despite,Fashion,314,354.52
PROD203,However,Electronics,486,608.34
PROD204,Pattern,Home Goods,236,900.27
PROD205,Drop,Fashion,164,47.19
PROD206,Ahead,Home Goods,367,194.85
PROD207,No,Fashion,261,398.82
PROD208,Sister,Home Goods,297,643.2
PROD209,Project,Sports,142,25.57
PROD210,Fund,Home Goods,351,810.63
PROD211,Probably,Fashion,478,49.04
PROD212,Wide,Sports,140,835.29
PROD213,Degree,Fashion,356,597.96
PROD214,Seat,Electronics,471,186.96
PROD215,Grow,Fashion,186,517.38
PROD216,Many,Sports,240,295.03
PROD217,International,Fashion,490,459.04
PROD218,Put,Sports,120,73.25
PROD219,Southern,Home Goods,194,342.35
PROD220,Administration,Sports,272,448.13
PROD221,Report,Electronics,294,675.37
PROD222,From,Sports,33,190.59
PROD223,Board,Sports,355,598.09
PROD224,Capital,Electronics,202,568.24
PROD225,Network,Electronics,199,808.88
PROD226,Mr,Electronics,345,216.05
PROD227,Story,Sports,241,313.75
PROD228,Box,Home Goods,21,513.36
PROD229,Personal,Sports,80,307.9
PROD230,Include,Fashion,319,587.25
PROD231,Order,Home Goods,310,267.06
PROD232,So,Home Goods,131,289.76
PROD233,Spend,Home Goods,208,950.54
PROD234,Dinner,Electronics,406,931.09
PROD235,Part,Home Goods,427,171.5
PROD236,Husband,Fashion,461,745.26
PROD237,Often,Electronics,120,224.53
PROD238,Week,Home Goods,443,778.13
PROD239,Her,Electronics,467,366.52
PROD240,Talk,Fashion,269,515.16
PROD241,Behavior,Electronics,182,786.72
PROD242,Several,Sports,108,485.7
PROD243,North,Electronics,256,557.19
PROD244,Investment,Fashion,151,285.87
PROD245,Single,Home Goods,203,748.84
PROD246,Bit,Sports,244,703.13
PROD247,Attack,Home Goods,425,716.17
PROD248,Check,Sports,382,122.29
PROD249,Authority,Home Goods,120,418.67
